question,answer
 выберите правильный вариант вопросительного местоимения: by … is this book written? ,whom.
" вставьте модальный глагол: …i speak to sam, please? – just a minute. ",could
" выберите предложение, в котором причастие употреблено в функции обстоятельства: ",while reading a book she was eating sweets. 
" прочитайте текст и ответьте на вопрос после текста: jonathan swift liked order in everything. all the people in his house, for example, had to shut the door behind them when they came into the room or left it. one day a maid servant came and asked him to let her visit her sister who lived ten miles away. swift not only agreed, but let her go there in his own carriage. the girl was so happy that she forgot to shut the door when she left the room. swift let her go, but about half an hour later he ordered one of the servant to ride after the carriage and tell the girl come back. the poor girl had to turn back. she asked him what he wanted. i only want you to shut the door, was his answer. now you may go to visit your sister. i wish you a pleasant journey. why did j. swift order the girl to come back? ",because he wanted to teach her discipline.
 закончите фразеологизм: to … oneself together. взять себя в руки. ,pull.
 выберите значение приставки de-: ,противоположное значение
 найдите правильный вариант глагола: … you often … your brother these days?  ,do . . . see
" найдите правильный вариант глагола. after everybody… a chance to say what they thought, we took a vote. ",had had
 выберите правильную форму глагола в страдательном залоге: her book (to finish) next month. ,will be finished. 
 задайте вопрос к предложению: he used to wear glasses twenty years ago. ,did he use to wear glasses twenty years ago?
 выберите антоним слова: harmful. ,useful.
 выберите правильное слово.  he was born in … small russian town. ,a
 дополните предложение: the little … face was happy. ,girl’s
 выберите правильную  форму глагола . there … some butter in the fridge. ,`s 
 выберите правильный вариант сказуемого. we … to watch a new film. ,are going.
" выберите слово, в котором выделенная буква читается отлично от других. ",geography  
 выберите правильный вариант предлога: go … reading the story. i want to know its end. ,on.
 вставьте необходимое слово в предложение: the streets in this town are really ... . nobody ever cleans them. ,dirty
 закончите фразеологизм: war is the sports of … война – развлечение королей. ,kings.
 выберите правильный вариант перевода слова: неправда ,untruth. 
 выберите правильный вариант местоимения : … girl is george’s cousin . ,that.
 найдите правильный вариант глагола:  i… a bit lonely these days ,am
 выберите правильно построенное предложение: ,i hoped that i should find him at school.
 дополните предложение в past indefinite passive:  the theatre ... built in 1970. ,was
" выберите слово с суффиксом, обозначающим состояние или качество: ",freshness.
 выберите правильный вариант местоимения: there is … in the bag. it’s empty. ,nothing.
 дополните предложение: that’s the house ... we stayed in may. ,where
 форма множественного числа отличается от остальных в слове: ,tooth.
 определите правильный вариант глагола: when we came back the children … in the garden with two unknown boys. ,were playing. 
 вставьте нужную форму глагола: you must … a letter ,write
 задайте вопрос к предложению: they used to live in the same street.  ,did they use to live in the same street? 
 вставьте в предложение глагол в соответствующей форме: he is very good at (learn) languages.  ,learning
 выберите верное причастие: a ... fridge ,bought.
" прочтите текст и ответьте на вопрос после текста: the famous composer rakhmaninov was also a very good pianist. when he was a small boy he was asked to play at a home party at their friends’ place. though he was only eight he was quite experienced in playing the piano and did it well. at that concert he was to play one of beethoven’s sonatas. it must be mentioned that there are several very long intervals in that sonata. in each of these intervals the boy took his hands off the keyboard and waited. during one of these intervals the old mother of the hostess came up to him and said, «my boy, why don’t you play anything that you know very well?»  why did the boy stop playing several times?  ",because the sonata had some long intervals
" дополните предложение: please, ... another dress. this one is too big for you. ",try on
 выразите одним словом: you send them to your relatives on holidays. ,postcards.
 найдите правильный вариант глагола: clothes … very different in the year 2100. ,will be
 найдите правильный вариант глагола. she couldn’t find the book that i … her. ,had lent
 выберите верный перевод: he is thought to be clever and honest ,"считают, что он умный и честный человек."
 выберите правильный ответ.  what is the capital of massachusetts? ,boston.
 выберите правильный  предлог do not learn all your answers off … heart. ,by
 дополните предложение: … finest  weather in this part of … country is in september. ,the | the
 выберите притяжательную форму существительного в единственном числе. ,grandmother’s bag.
 выберите правильную форму глагола they … married next week. ,are getting
 дополните предложение: he … not going to help his mother. he was too busy with his homework. ,was 
" выберите слово, в котором выделенная буква читается отлично от других слов: ",bush. 
 найдите синоним слова “to start” ,to begin
 выразите одним словом: people go in for sports there. ,stadium.
 обобщающим для данной группы слов является слово: ,water.
" образуйте прилагательное с противоположным значением от слова ""possible"": ",impossible. 
" найдите правильное местоимение: if you find … mistakes, please tell me. ",any.
 выберите правильный вариант сказуемого: there … several beautiful parks in this city. ,are
 найдите правильный вариант перевода на русский язык:  it’s no use asking him about it.  ,бесполезно его спрашивать об этом.
 выберите правильный вариант формы глагола: he was looking forward to … to astana to business-trip.    ,being sent
 переведите “заботиться о… ”: ,to take care of
 найдите глагол от прилагательного black: ,to blacken.
 дополните предложение:  is there ... sugar on the table? ,any
 выберите правильный вариант: this is my chair and … your armchair over there. ,that is
 выберите правильный вариант множественного числа существительного: boy-friend ,boy-friends.
 выберите правильный вариант сказуемого: they … in europe all summer. ,stayed.
 выберите правильную форму сказуемого в страдательном залоге: letters … … every day (to post). ,are posted.
 вставьте глагол в соответствующей форме:  seeing nick enter the room i rose (greet) him. ,to greet
 выделенное слово является participle 1 в предложении: ,she ate her supper watching a film on tv.
" прочитайте текст, выберите правильный ответ на вопрос: jane came home after her first day at school. “well, dear”, asked her mother, “what did they teach you?” “not much,” answered the child. “i have to go again.” what did her mother ask her? ",she asked what they had taught jane. 
" выберите правильный английский эквивалент данной пословицы: сколько голов, столько умов. ","so many men, so many minds."
 выберите правильную форму глагола “to be”: zulfiya … to have made a report on psychology previous thursday.  ,was
 найдите правильный вариант глагола:   i … him for ages. ,haven’t seen
 выберите правильный вариант глаголов: dauren hoped they … before anybody started to look for them. ,would have come
 найдите эквивалент: она должна прийти. ,she is to come. 
 выберите правильный ответ на вопрос: what is the capital of georgia? ,atlanta.
 синонимом слова “fast” является: ,quick.
 дополните предложение: … flat is nice but … bathroom is too small. ,the | the 
 выберите правильное слово. it`s the … foot. ,dog’s
 поставьте глагол в предложении в present simple tense. new year’s day … the time for making new year resolutions. ,is. 
 дополните предложение: my mother … going to clean the floor. i want to help her. ,is
" выберите слово, в котором выделенная буква читается отлично от других. ",general 
 антоним слова “large” ,small
 выберите правильный вариант переводa слова: неаккуратный ,untidy.
 образуйте сложное слово: text                   ,book
 выберите правильный вариант местоимения в предложении: we live in wales. ... parents live with ... . ,our / us. 
 найдите множественное число слова “a boy”: ,boys
 выберите правильный вариант сказуемого: there … eight new words in this lesson. ,are
" определите, чем является подчёркнутое слово: thank you for coming. ",герундием 
 определите предложение с participle i: ,a young lady buying flowers is my aunt.
 выберите фразовый глагол со значением «заботиться»: ,to look after
 выберите нужный фразовый глагол: please … the light. this room is dark. ,turn on.
 переведите “быть расположенным ”  ,to be situated
 дайте определение слову hurry: ,to do something very quickly.
 выберите указательное местоимение для предложения: do you like ... apples? ,these
 выберите правильную форму сказуемого: the workers will … … this school next year. ,build.
 выберите правильную форму сказуемого в страдательном залоге: most schools … on sunday(to close). ,are closed. 
 определите название формы по приведенному примеру: to be going. ,continuous infinitive active. 
" прочитайте текст, выберите правильный ответ на вопрос: charles has just entered school. “what is your name?” the teacher asked. “charles”, was the answer. “charles what?” the teacher questioned. “oh, that’s all right,” the boy said, “”just call me charles.” what has happened to charles? ",he has become a pupil.
 выберите правильный вариант ответа:  which is the biggest state of the usa? ,alaska
 дополните предложение: i think they know very (мало) english songs. ,few
 найдите правильный вариант глагола. the burglars dropped a piece of paper with an address on it as they … out of the window. ,were climbing
 найдите правильный вариант глагола. she said she … just … dinner. ,had cooked
 выберите правильный вариант глаголов: i was sure that they … (to arrive) in the evening. ,would arrive
 глагол to have употреблен в качестве модального в предложении: ,do you have to go to the market to buy fish or meat?
 задайте вопрос к предложению: he used to wear glasses twenty years ago. ,did he use to wear glasses twenty years ago?
 антонимом слова “dream” является: ,reality. 
 выберите правильный вариант артиклей. … northern part of … state michigan has many spots. ,"the, the."
" укажите предложение, в котором “-s” является показателем притяжательного падежа. ",one boy’s mother made tasty  cookies.
 выберите правильный вариант предложения в past simple tense. ,ahmed phoned me yesterday.
 вставьте  правильную форму глагола  watch out!  you … knock the vase over. ,are going to 
 к теме село относится слово: ,harvest.
 образуйте существительное от глагола serve: ,servant.
 выберите верное местоимение: the music was so loud that i had to shout to make … . ,myself
 выберите верное местоимение. … books were read last year. ,those. 
 выберите правильную  форму глагола “to be”: it ... a nice fairy-tale. ,is.
 выберите правильно построенное предложение: ,the doctor said that he would come the next day.
 найдите правильную форму сказуемого: there … a sports center in moscow. ,is
 определите предложение с participle ii: ,i don’t know the words written on the blackboard.
 выберите правильный вариант ответа:  where does the president of the usa live and work? ,in the white house
" выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",either. 
 выберите фразовый глагол со значением «записывать»: ,to put down
 найдите предложение с фразовым глаголом:  ,i get up at seven every morning. 
 дополните предложение: he ... his brother’s example. ,follows
 дайте определение слову expensive: ,costing a lot of money.
 закончите предложение:  the weather was ... . ,bad.
 выберите правильный вариант множественного числа существительного: fire-place ,fire-places.
" вставьте необходимое сочетание с модальным глаголом: you look tired. yes, i ... last night. ",couldn’t sleep
 определите название формы по приведенному примеру: to have gone. ,perfect infinitive active.
" прочитайте текст и выберите подходящий заголовок:    after the war of independence the usa needed a capital city. it was difficult to choose it because different cities in different parts of the country wanted to be the nation’s capital. in the end it was decided to build a new city. in 1791 george washington, the first president, chose the place where the city now stands. he thought it was a good place because the potomac river was large enough for ships to come as far as the site of the city. the land round the city was called the district of columbia, after christopher columbus; and the city on it was named washington, in honour of the country’s first president.   ",from the history of the capital.
 выберите правильный вариант местоимения: … is giving our secret information. the enemy knows about our plans. ,somebody
 найдите правильный вариант глагола. when the film started the children … in the living room. ,were playing
 выберите правильную форму сказуемого: he … … her since 1982. ,has known.
 выберите правильный перевод предложения в страдательном залоге: ему показали дорогу. ,he was shown the way.
 задайте специльный вопрос к предложению: i used to read a lot of books. ,when did i use to read a lot of books?
 вставьте в предложение глагол в соответствующей форме: it’s no use (worry) about it. ,worrying
 выберите правильный вариант артиклей. … white house is … home of …  president. ,"the, the, the."
" выберите  существительное, употребляющиеся только в форме множественного числа. ",clothes. 
" поставьте глаголы в предложении в past simple tense. yesterday my brother … at the cinema, i … also there. ","was, was."
 найдите предложение в present continuous tense. ,they are playing football in the yard now.
 выберите правильный вариант сказуемого. there … many wild animals in australia. ,are.
 выберите правильный вариант переводa слова: несчастный ,unhappy.
 выберите верное местоимение. my father gave me that book … . ,himself. 
 выберите верное местоимение. … is a large house. ,this.
 выберите притяжательную форму существительного в единственном числе. ,aunt’s
 выберите правильный вариант глагола:  mary … just …fresh newspaper to her father. ,has … brought
 найдите правильный вариант перевода:      он не собирается идти домой. ,he isn’t going  to go home
 выберите правильный вариант.  i like … . ,drawing.
 выберите предложение с participle i: ,mr. marat listened to the girls singing kazakh folk songs. 
 выберите правильный ответ. the scottish lake in which there is supposed to be a monster is … ,loch ness
 выберите слово с третьим типом слога:  ,observe.
 aнтонимoм  слова “joy”является : ,grief
 выберите верное окончание для словосочетания: a bottle of... ,oil.
" выберите правильный вариант фразового глагола “to put”: don ’t forget … your scarf …, please.  ",to put … on.
 закончите предложение: to come back means to ... ,return.
 переведите: заниматься спортом ,to go in for sport.
" выберите слово с суффиксом, обозначающим процесс или результат действия: ",organization.
 выберите правильный модальный глагол. i … skate and ski very well. ,can
 вставьте глагол в соответствующей форме:  tell her what you would like her (do). ,to do.
" прочитайте текст, выберите правильный ответ на вопрос: a very rich man asked a famous artist to draw something for him in his album. the artist did so, and asked for one hundred dollars. “why!” cried the rich man. “it took you only five minutes to do it!” “yes,” answered the artist. “but it took me twenty years to learn how to do it in five minutes.” why did the famous artist ask for money for his work? ",it had taken him twenty years to learn how to draw. 
 дополните предложение: they ... sausages at this shop. ,sell
 найдите правильное местоимение: in kazakhstan there is only one lake … i haven’t visited yet. ,which.
 найдите правильный вариант глагола: the biggest event in tom’s life … by chance. ,happened
 выберите правильный вариант: he answered he … when he … the answer. ,would phone / knew
 найдите правильный вариант глагола. at this very moment the suspect . . . by the police. ,is being interviewed
 поставьте предложение в отрицательную форму: david used to work at the factory. ,david didn’t use to work at the factory.
 синонимом слова “sad” является: ,dull. 
 выберите правильное слово where is … cat? ,the
 существительное во множественном числе. ,wolves
 дополните предложение: how are you? – i … all right. ,am
 дополните предложение: what … you going to be when you leave school? ,are
" выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",heavy. 
 выберите правильный вариант предлога: go … reading the story. i want to know its end. ,on.
 к теме село относится слово: ,wheat.
" дополните предложение, вставив нужное местоимение: did you meet ... on your way home?  ",anybody
 вставьте правильный вариант вспомогательного глагола: it … snowing the whole day yesterday. ,was
 выберите правильное сказуемое: the train … at the station by 4 o’clock yesterday. ,had arrived
 выберите правильный вариант перевода на русский язык: во дворе много деревьев. ,there are many trees in the yard. 
 выберите страдательный залог герундия в несовершенном времени на примере следующего глагола: to write ,being written
 выберите верное причастие: the ... day ,following.
" найдите прилагательное, имеющее отрицательное значение: ",indefinite 
 образуйте прилагательное при помощи суффикса: interest ,ing
" выберите верный вариант местоимений: how are … children? – fine, thanks. how are …? ",your / yours.
 выберите правильный вариант вопросительного местоимения: by … is this book written? ,whom.
 дополните предложение существительным в притяжательном падеже:  do you know my ... husband? ,sister’s
 выберите правильный вариант сказуемого: we … institute every friday. ,attend. 
 выберите правильный вариант: we were told that the train … five minutes later. ,would arrive
 выберите правильную форму глагола в страдательном залоге: he (to send) for the doctor. ,was sent.
" закончите предложение : when i was younger, i … play tennis quite well. ",used to
" прочтите текст и ответьте на вопрос после текста: the famous composer rakhmaninov was also a very good pianist. when he was a small boy he was asked to play at a home party at their friends’ place. though he was only eight he was quite experienced in playing the piano and did it well. at that concert he was to play one of beethoven’s sonatas. it must be mentioned that there are several very long intervals in that sonata. in each of these intervals the boy took his hands off the keyboard and waited. during one of these intervals the old mother of the hostess came up to him and said, «my boy, why don’t you play anything that you know very well?»  why did the boy stop playing several times?  ",because the sonata had some long intervals
 переведите “to be keen on ”  ,"страстно желать, увлекаться чем-либо."
 выразите одним словом: you send them to your relatives on holidays. ,postcards. 
 закончите фразеологизм: to … oneself together. взять себя в руки. ,pull.
 найдите эквивалент: она должна прийти. ,she is to come. 
 инфинитив является сложным подлежащим в предложении: ,he is said to be a very talented actor.
" выберите подходящий русский эквивалент к слову “freshman”  in american english, freshman means … . ",первокурсник
 синонимом слова “smart” является: ,bright.
 выберите правильный вариант артиклей. they placed … box on … table. ,"the, the."
 множественное число существительного к слову: a watch. ,watches.
 дополните предложение: i opened the fridge. there … much food there. ,was
 дополните предложение: where … you going when you met your friend in the street yesterday? ,were
" выберите слово, в котором выделенная буква читается отлично от других слов: ",catch.
 обобщающим для данной группы слов является слово: ,climate.
" дополните пословицу: east or west, … is best. ",home. 
" найдите глагол, образованный при помощи префикса: ",reconstruct
 вставьте пропущенное местоимение: … artist has a great talent. ,this 
 выберите верное местоимение: is there … apples in the basket? ,any
 выберите правильный вариант глагола:  mary … just …fresh newspaper to her father. ,has … brought
 выберите правильно построенное предложение: ,he said that he would return tomorrow.
" определите, чем является подчёркнутое слово: the girl washing the floor is my sister. ",причастием
 дополните фразу: to go to the lectures means ... them. ,to attend
 дополните предложение: not to catch the train means to ... it. ,miss
 найдите имя прилагательное: ,slow
 дополните предложение: that’s the house ... we stayed in may. ,where
 дополните предложение существительным в притяжательном падеже this is his…friend. ,daughter’s
 выберите правильный вспомогательный глагол в предложении: ... you meet her at the station? ,will
 выберите верный вариант отрицания к данному предложению: he used to do everything his mother said. ,he didn’t use to do everything his mother said.
 образуйте форму gerund от глагола have: ,having. 
 вставьте в предложение глагол в соответствующей форме: nick used (live) alone.  ,to live
" прочитайте текст и выполните задание после текста: mr. nelson wanted to be elected sheriff in a new hampshire county. he went from farm to farm asking people to vote for him. mrs. marrow saw him coming up one day and reached for the broom. get off, you good-for-nothing loafer, she shouted. but mrs. marrow, said nelson. i have just come to ask you if you’ll vote for me for sheriff. sheriff! shouted mrs. marrow. your place is in the lockup, not in the sheriff’s office. you are a scoundrel, and your father was a scoundrel, and your grandfather was a scoundrel. get out of here before i take this broom to you. nelson decided to go. before climbing back into the car,he took out his notebook and wrote, after the name of marrow, one word: doubtful. выберите заголовок к тексту: ",he wants to be a sheriff. 
 выберите антоним к подчеркнутому слову: the damp climate of this country made my cough very strong.   ,dry
 выберите правильную форму глагола “to be”: zulfiya … to have made a report on psychology previous thursday.  ,was
 найдите правильный вариант глагола. i woke up and found out that water … through the ceiling. ,was pouring
 выберите правильную форму глагола в страдательном залоге: the patient (to take) to hospital last friday. ,was taken.
 заменитe выделенное модальное выражение его эквивалентом:  the conference is to begin next tuesday ,must
 закончите предложение:  a jack is an old name for ... ,a sailor
 выберите предлог противоположный предлогу: up. ,down.
" выбери слово, противоположное по смыслу слову “enter”: ",leave.
 выберите правильный вариант артиклей. … potatoes are grown everywhere in … british isles. ,"-, the."
 найдите существительное в единственном числе. ,advice. 
 дополните предложение: the child was glad. there … many animals in the zoo. ,were 
 окончание читается отлично от других в слове: ,developed. 
 выразите одним словом: people go in for sports there. ,stadium. 
 выберите правильный английский эквивалент данной пословицы: плохая молва летит на крыльях. ,bad news travels fast.
 выберите правильный вариант перевода слова: перестройка ,reconstruction.
 образуйте прилагательное при помощи суффикса: use ,less
 выберите верное местоимение: be careful! they are looking at …  . ,us.
 дополните предложение:  is there ... in the room? ,anybody
 выберите правильный ответ: is tom going to play on the bridge? ,"yes, he is."
 определите предложение с participle i: ,a young lady buying flowers is my aunt.
" выберите фразовый глагол со значением ""выходить"": ",get out.
 дополните предложение: she ... from her illness. ,suffers
 выберите указательное местоимение для предложения: do you like ... apples? ,these
 выберите правильный вариант притяжательной формы существительного: arman bolatovich is our … friend. ,family’s.
 выберите правильную форму глагола “to be”: my brother and i … born in almaty. ,were
 выберите правильную форму сказуемого: the workers will … … this school next year. ,build. 
 выберите правильное отрицательное предложение: i have to make a telephone call. ,i don’t have to make a telephone call.
 поставьте предложение в отрицательную форму: ann used to have a piano. ,ann didn’t use to have a piano.
 выберите предложение с герундием: ,thank you for ringing me up!
 выберите правильный вариант ответа:  which is the biggest state of the usa? ,alaska
 найдите правильный вариант глагола. they stood under the shelter because it … . ,was raining
 найдите правильный вариант глагола. he was tired. he … 5 km. ,had skied
 укажите правильный вариант сказуемого: he said he … the report by 8 o’clock. ,would have finished. 
 выберите правильный перевод предложения в страдательном залоге: фильм был снят в этом году. ,the film has been made this year.
 выберите верный перевод: the train is reported to have arrived on time. ,"сообщают, что поезд прибыл вовремя."
" прочитайте текст, выберите правильный ответ на вопрос: mark twain once said, “when i was a boy of 14, i thought that my father was the most ignorant of all men. but when i got to be 21, i was surprised at how much the old man had learned in seven years.” what did mark twain think about his father? ",he knew very little.
" выберите слово, противоположное по значению: poor. ",rich.
 дополните предложение: … year ago he was in … 10-th form. ,a | the
 выберите существительное во множественном числе. ,knives.
 дополните предложение: it was … new coat. ,victor nicolaevich’s
 дополните предложение: look! there … a book on the table. ,is
" выберите слово, в котором выделенная буква читается отлично от других. ",gentle   
 выберите антоним к слову: “teacher” ,student.
 закончите фразеологизм: … hurts more than truth. ничто не ранит больнее правды. ,nothing.
" выберите производное слово от слова ""help"": ",helpless.
 выберите верное местоимение. at … moment i was at home. ,that.
 выберите правильную  форму глагола “to be”: ... you a teacher? ,are. 
 выберите правильный ответ: are you going to invite her to the party? ,"yes, i am."
 найдите правильный вариант перевода на русский язык:  it’s no use asking him about it.  ,бесполезно его спрашивать об этом.
 определите функцию инфинитива в следующем предложении: arman was the first to recover.  ,определение
" выберите фразовый глагол со значением ""мыть посуду"": ",wash up. 
 дополните предложение:  he used his hands and feet to ... the  mountains.  ,climb
 выразите одним словом: a person who travels by plane or by ship is a ... ,passenger.
" образуйте прилагательное с противоположным значением от слова ""definite"":  ",indefinite. 
 выберите правильный вариант местоимения: there is … in the bag. it’s empty. ,nothing.
 найдите правильный вариант глагола:   peter just … me a new job. ,has offered
 выберите правильно построенное предложение: ,aliya said that she would tries to come in time.
 выберите правильный вопрос: you shouldn’t close the window  ,should i close the window?
 вставьте в предложение глагол в соответствующей форме: he is very good at (learn) languages.  ,learning
 выберите предложение с past participle: ,the house built in 1789 was the oldest building in the town.
 выберите правильный вариант вопросительного местоимения: … of you speaks english? ,which. 
 глагол to do употреблен в качестве вспомогательного в предложении: ,did you know how to drive a car?
 найдите правильный вариант глагола. he… when he fell over and broke his leg. ,was skiing 
 найдите правильный вариант глагола. there must be a mistake: the hotel . . . by my wife. ,was paid
" прочитайте текст и выполните задание после текста: one day my cousin george and i decided to visit our granny in london. after lunch we all three decided to sail down the thames to have a look at the old ships. but suddenly it started raining, so we had to change our plans. we decided to visit madame tussaud’s instead. george hadn’t been there before. it was great fun seeing all the wax figures. there were some new ones i hadn’t seen before. after an hour granny felt a little tired and wanted to sit down and rest for a moment. george and i went to look at all the murderers in the cellar. we promised to come back in half an hour.     when we came back we saw two american tourists standing in front of granny and taking a photo of hers. we heard one of them say, “she is sure to look like a real woman!” you should have seen their faces a moment later when granny opened her eyes!  выберите заголовок к тексту: ",a case in the museum. 
 дополните предложение.  in the house of commons the members sit … . ,on two sides of the hall
 синонимом слова “remain” является: ,stay.
" выберите слово, близкое по значению: small. ",little.
 выберите правильное слово julia has got … orange. ,an
 выберите неисчисляемое существительное: ,ground.
 выберите правильную  форму глагола . … there any snakes in the forest? ,are
" выберите слово, в котором выделенная буква читается отлично от других слов: ",river.
" к теме ""library"" относится слово: ",novel.
 найдите имя существительное: ,worker 
" дополните предложение, вставив нужное местоимение: they did not pick ... flowers. ",any
 выберите правильный вариант: i thought … there was nothing to worry about. ,that
 найдите правильный вариант глагола: the children … sometimes absolutely naughty. ,are
 выберите нужный вариант вспомогательного глагола. we … writing a composition now. ,are. 
 найдите правильный вариант сказуемого: i … to clean the carpet. ,am going.
 определите предложение с participle ii: ,i don’t know the words written on the blackboard.
 выберите правильный вариант предлога: i haven’t read this newspaper yet. i only looked it …. ,through.
 дайте определение слову neighbour: ,a person who lives near you.
 выберите лишнее слово в данной группе слов: ,aunt. 
 найдите правильный вариант слова  “разногласие “: ,disagreement
 выберите верный вариант местоимений: how long does …  take … to go to the nearest shop? ,it / you.
 найдите правильный вариант сказуемого: he … his work tomorrow. ,will finish.
 выберите правильный вспомогательный глагол в предложении: i ... not heard this news. ,have
 выберите правильно построенное предложение: ,they thought i should be working in the garden at that moment.
 определите название формы по приведенному примеру: drinking. ,gerund. 
" прочитайте текст и выполните задание после текста: for the people who live along the banks of the st. lawrence river the arrival of the ice-breakers is a very important event each year. when the ice-breakers arrive everyone knows that spring will soon come and that long canadian winter is almost over. the slow movement of the ice-breaking ships up the river to montreal is reported over the radio and in the newspapers. whole families go on sunday excursions to the river bank where they spend hours watching the ship at work.    in march many ships gather in the gulf of st. lawrence, waiting for the signal telling them that the way to montreal is free. as soon as the signal is given, a race begins for the port. the winning ship is given a great welcome, and the captain receives a special prize. закончите предложение: the arrival of the ice-breakers means that ... ",... the long winter is almost over.
 выберите словосочетание с существительным множественного числа в притяжательном падеже: ,my sons’ cars.
 выберите правильную форму глагола в страдательном залоге: tomorrow the bill (to pay). ,will be paid.
 замените выделенное модальное выражение его эквивалентом: i was able to speak english well ,could
 задайте общий вопрос к предложению: my brother used to be a taxi-driver. ,did my brother use to be a taxi-driver? 
" выберите предложение, в котором инфинитив использован в функции дополнения: ",i want to have a rest.
 выберите подходящее слово.  the whispering gallery is remarkable for its … . ,acoustics
